ip_address,min_rtt,avg_rtt,max_rtt,distance
138.199.4.1,136.566,160.906,215.949,8243.25
79.127.209.1,151.922,170.398,220.373,8381.61
156.146.53.53,58.354,76.407,126.508,440.78
170.83.216.19,110.053,131.706,188.159,4658.18
69.79.207.214,52.203,73.054,133.284,2675.61
121.127.43.65,72.259,90.168,143.651,2547.6
201.225.207.2,71.771,93.981,157.216,3570.64
201.225.207.3,71.759,93.618,159.082,3570.64
70.38.95.143,31.568,67.175,259.486,1220.2
74.49.158.20,30.418,37.008,55.993,1220.2
173.243.131.29,45.762,73.136,140.764,1066.52
138.199.57.129,22.884,36.880,94.914,550.12
96.45.43.6,33.776,52.623,112.575,717.23
204.155.243.172,33.807,53.169,108.214,717.23
66.35.30.9,52.757,71.940,125.767,2985.43
69.168.185.43,44.345,64.628,118.338,1683.45
45.250.25.133,27.923,53.676,116.098,819.41
37.19.206.20,28.495,49.359,115.510,440.78
66.35.22.79,22.432,46.491,107.929,819.41
92.119.16.139,16.292,37.124,100.019,775.29
185.152.66.67,32.809,46.662,112.010,440.78
109.61.86.65,32.458,40.149,75.282,440.78
23.19.208.9,12.163,20.403,51.311,171.9
185.93.1.65,9.877,22.049,51.433,171.9
193.239.236.131,10.048,20.319,51.553,171.9
209.58.159.68,28.693,49.560,122.784,1224.4
2.56.188.136,25.270,42.145,104.207,1224.4
89.187.164.1,32.467,39.039,57.507,1224.4
157.250.201.61,63.828,88.758,157.861,1084.73
66.35.27.207,40.073,60.815,127.145,1224.4
37.19.216.1,39.134,59.858,123.777,440.78
208.110.65.2,21.006,31.346,87.049,671.78
77.247.126.223,55.161,90.881,193.203,2846.77
23.105.41.222,54.999,85.340,202.529,1224.4
185.152.67.2,59.234,88.069,203.758,440.78
23.82.138.78,43.636,60.828,123.291,1743.68
195.181.162.195,35.821,52.998,110.747,440.78
23.249.54.234,37.865,66.015,193.697,1743.68
185.59.223.8,28.294,44.609,103.786,440.78
108.62.52.129,27.922,44.696,108.622,1089.27
23.81.207.31,49.678,86.549,186.487,2357.7
45.86.208.131,49.381,81.651,194.903,2357.7
209.40.123.215,48.685,74.749,195.114,1224.4
198.60.22.18,38.679,52.675,103.763,2102.62
23.81.166.99,56.782,72.531,121.809,3057.83
66.35.20.123,70.357,88.098,140.686,3027.88
148.230.59.38,72.983,97.657,165.492,3027.88
23.82.193.66,59.406,81.481,138.560,2914.73
84.17.41.11,59.075,81.909,139.667,2914.73
23.105.9.80,29.725,46.246,109.899,829.05
23.106.244.70,191.703,207.965,279.484,14905.35
143.244.63.144,192.613,210.484,279.883,14905.35
51.161.209.134,207.076,220.015,278.273,14905.35
96.45.44.87,204.195,219.639,287.923,14905.35
202.22.159.9,238.235,263.430,353.668,12963.29
101.98.9.197,183.840,201.199,266.962,13177.12
72.1.86.46,186.055,201.469,265.517,13177.12
101.98.9.201,196.363,210.137,267.911,13177.12
154.81.51.4,225.263,252.172,350.777,14905.35
103.146.200.98,230.407,254.337,346.199,13693.76
